,timestamp,baro_altitude,baro_temperature,imu_accX,imu_accY,imu_accZ,imu_gyroX,imu_gyroY,imu_gyroZ,imu_temp,mag_X,mag_Y,mag_Z,heading,gps_lat,gps_lng
0,1612841,269.625,20.4375,-0.129292,0.215486,9.82615,-0.0276977,0.00852238,-0.0213059,20.0,-912,-565,391,-124,0,0
1,1612855,269.625,20.4375,-0.129292,0.215486,9.82615,-0.0468731,-0.0596566,0.0319589,20.0,-912,-565,391,-124,0,0
2,1612868,269.625,20.4375,-0.129292,0.208303,9.83334,0.0149142,0.0170448,0.0234365,20.0,-912,-565,391,-124,0,0
3,1612884,268.125,20.5625,-0.129292,0.208303,9.84052,-0.0511343,0.0767014,-0.0191753,20.0,-912,-565,391,-124,0,0
4,1612889,268.125,20.5625,-0.129292,0.208303,9.84052,-0.0511343,0.0767014,-0.0191753,20.0,-930,-597,362,-121,0,0
5,1612897,268.125,20.5625,-0.129292,0.208303,9.83334,0.0149142,0.0426119,0.0404813,20.0,-930,-597,362,-121,0,0
6,1612910,268.125,20.5625,-0.129292,0.208303,9.83334,0.0234365,0.0234365,0.110791,20.0,-930,-597,362,-121,0,0
7,1612922,268.125,20.5625,-0.129292,0.215486,9.82615,0.0511343,0.0511343,-0.155533,20.0,-930,-597,362,-121,0,0
8,1612938,269.938,20.4375,-0.129292,0.222669,9.82615,-0.057526,0.0127836,0.0362201,20.0,-930,-597,362,-121,0,0
9,1612948,269.938,20.4375,-0.129292,0.222669,9.81897,0.0191753,-0.00426119,0.0170448,20.0,-930,-597,362,-121,0,0
10,1612961,269.938,20.4375,-0.129292,0.222669,9.82615,-0.138489,-0.0149142,-0.0149142,20.0,-930,-597,362,-121,0,0
11,1612976,269.938,20.4375,-0.143657,0.215486,9.82615,-0.0234365,-0.0213059,0.057526,20.0,-930,-597,362,-121,0,0
12,1612981,269.938,20.4375,-0.143657,0.215486,9.82615,-0.0234365,-0.0213059,0.057526,20.0,-930,-597,362,-121,0,0
13,1612991,268.938,20.5,-0.143657,0.215486,9.82615,-0.0639178,0.0830932,0.0362201,20.0,-905,-587,375,-122,0,0
14,1613001,268.938,20.5,-0.143657,0.208303,9.83334,-0.10653,-0.0319589,0.0213059,20.0,-905,-587,375,-122,0,0
15,1613014,268.938,20.5,-0.136474,0.215486,9.84052,-0.153403,0.0127836,-0.010653,20.0,-905,-587,375,-122,0,0
16,1613027,268.938,20.5,-0.136474,0.215486,9.84052,-0.0490037,0.0255671,0.10866,20.0,-905,-587,375,-122,0,0
17,1613044,269.5,20.4375,-0.136474,0.215486,9.83334,-0.00639178,0.0298283,0.0170448,20.0,-905,-587,375,-122,0,0
18,1613055,269.5,20.4375,-0.129292,0.222669,9.83334,-0.0703096,0.0276977,-0.0553954,20.0,-905,-587,375,-122,0,0
19,1613069,269.5,20.4375,-0.129292,0.222669,9.82615,0.0809626,-0.0767014,-0.127836,20.0,-905,-587,375,-122,0,0
20,1613082,269.5,20.4375,-0.136474,0.222669,9.82615,-0.0362201,-0.0298283,-0.0830932,20.0,-905,-587,375,-122,0,0
21,1613092,269.5,20.4375,-0.136474,0.222669,9.82615,-0.0362201,-0.0298283,-0.0830932,20.0,-922,-567,396,-124,0,0
22,1613101,269.25,20.5,-0.136474,0.215486,9.81897,-0.00426119,-0.0426119,-0.00852238,20.0,-922,-567,396,-124,0,0
23,1613112,269.25,20.5,-0.136474,0.215486,9.82615,-0.0255671,0.0,0.0724402,20.0,-922,-567,396,-124,0,0
24,1613127,269.25,20.5,-0.129292,0.215486,9.82615,-0.0724402,-0.0362201,-0.193884,20.0,-922,-567,396,-124,0,0
25,1613139,269.25,20.5,-0.129292,0.208303,9.83334,0.0468731,-0.0234365,0.0404813,20.0,-922,-567,396,-124,0,0
26,1613155,269.0,20.5,-0.136474,0.215486,9.84052,0.136358,0.0426119,-0.0383507,20.0,-922,-567,396,-124,0,0
27,1613165,269.0,20.5,-0.136474,0.215486,9.84052,-0.00213059,-0.0980073,-0.0660484,20.0,-922,-567,396,-124,0,0
28,1613178,269.0,20.5,-0.136474,0.208303,9.83334,0.0894849,0.0468731,0.129966,20.0,-922,-567,396,-124,0,0
29,1613192,269.0,20.5,-0.129292,0.215486,9.82615,-0.00426119,0.0532648,-0.0234365,20.0,-907,-553,396,-125,0,0
30,1613207,267.75,20.5,-0.129292,0.208303,9.82615,-0.010653,-0.0255671,0.0830932,20.0,-907,-553,396,-125,0,0
31,1613217,267.75,20.5,-0.129292,0.208303,9.81897,0.0660484,0.00852238,0.00426119,20.0,-907,-553,396,-125,0,0
32,1613230,267.75,20.5,-0.129292,0.208303,9.82615,-0.0830932,0.121444,-0.057526,20.0,-907,-553,396,-125,0,0
33,1613245,267.75,20.5,-0.129292,0.208303,9.82615,-0.0617872,0.0468731,0.0340895,20.0,-907,-553,396,-125,0,0
34,1613261,269.188,20.5,-0.129292,0.215486,9.83334,-0.121444,0.0660484,0.0191753,20.0,-907,-553,396,-125,0,0
35,1613271,269.188,20.5,-0.136474,0.208303,9.83334,-0.0255671,0.0745708,0.0127836,20.0,-907,-553,396,-125,0,0
36,1613286,269.188,20.5,-0.136474,0.208303,9.83334,-0.0532648,-0.057526,0.0980073,20.0,-907,-553,396,-125,0,0
37,1613293,269.188,20.5,-0.136474,0.208303,9.83334,-0.0532648,-0.057526,0.0980073,20.0,-905,-570,388,-124,0,0
38,1613300,269.188,20.5,-0.136474,0.208303,9.82615,0.0276977,-0.0170448,-0.0276977,20.0,-905,-570,388,-124,0,0
39,1613315,269.062,20.5,-0.129292,0.208303,9.83334,0.0532648,-0.068179,-0.0127836,20.0,-905,-570,388,-124,0,0
40,1613327,269.062,20.5,-0.129292,0.215486,9.83334,-0.0916155,0.00852238,0.104399,20.0,-905,-570,388,-124,0,0
41,1613343,269.062,20.5,-0.129292,0.222669,9.83334,0.0,-0.0447425,-0.0745708,20.0,-905,-570,388,-124,0,0
