Time,X,Y,Z,VX,VY,VZ,Euler 0,Euler 1,Euler 2,Euler 3,Omega 1,Omega 2,Omega 3,Latitude,Longitude,Inclination,Heading,Ax,Ay,Az,Alpha 1,Alpha 2,Alpha 3
0,0,0,33.48718842,0,0,0,1,0,0,0,0,0,0,55.432968,-5.700802,90,0,0,0,0,0,0,0
0.01,-3.92E-36,-1.15E-35,33.48718842,-2.83E-33,-8.26E-33,1.09E-13,1,-5.75E-36,1.96E-36,5.86E-47,-8.29E-33,2.83E-33,1.95E-53,55.432968,-5.700802,90,0,-1.97E-30,-5.76E-30,3.47E-10,-5.78E-30,1.97E-30,5.50E-49
0.02,7.82E-34,2.29E-33,33.48718842,5.64E-31,1.65E-30,-2.17E-11,1,1.15E-33,-3.92E-34,-1.17E-44,1.65E-30,-5.65E-31,-3.89E-51,55.432968,-5.700802,90,0,3.93E-28,1.15E-27,-6.92E-08,1.15E-27,-3.94E-28,-1.10E-46
0.03,1.14E-33,3.32E-33,33.48718842,8.18E-31,2.39E-30,-3.15E-11,1,1.67E-33,-5.69E-34,-1.70E-44,2.40E-30,-8.21E-31,-5.65E-51,55.432968,-5.700802,90,0,5.70E-28,1.67E-27,-1.01E-07,1.67E-27,-5.72E-28,-1.59E-46
0.04,-1.54E-33,-4.51E-33,33.48718842,-1.11E-30,-3.25E-30,4.27E-11,1,-2.26E-33,7.72E-34,2.31E-44,-3.26E-30,1.11E-30,7.67E-51,55.432968,-5.700802,90,0,-7.74E-28,-2.26E-27,1.37E-07,-2.27E-27,7.76E-28,2.16E-46
0.05,-5.25E-33,-1.53E-32,33.48718842,-3.78E-30,-1.11E-29,1.45E-10,1,-7.70E-33,2.63E-33,7.85E-44,-1.11E-29,3.79E-30,2.61E-50,55.432968,-5.700802,90,0,-2.64E-27,-7.71E-27,4.65E-07,-7.74E-27,2.64E-27,7.37E-46
0.06,-1.96E-33,-5.72E-33,33.48718842,-1.41E-30,-4.12E-30,5.42E-11,1,-2.87E-33,9.80E-34,2.92E-44,-4.14E-30,1.41E-30,9.73E-51,55.432968,-5.700802,90,0,-9.82E-28,-2.87E-27,1.73E-07,-2.88E-27,9.85E-28,2.74E-46
0.07,1.31E-32,3.84E-32,33.48718842,9.45E-30,2.76E-29,-3.63E-10,1,1.92E-32,-6.57E-33,-1.96E-43,2.77E-29,-9.48E-30,-6.53E-50,55.432968,-5.700802,90,0,6.59E-27,1.93E-26,-1.16E-06,1.93E-26,-6.60E-27,-1.84E-45
0.08,1.95E-32,5.72E-32,33.48718842,1.41E-29,4.12E-29,-5.42E-10,1,2.87E-32,-9.80E-33,-2.92E-43,4.14E-29,-1.41E-29,-9.73E-50,55.432968,-5.700802,90,0,9.82E-27,2.87E-26,-1.73E-06,2.88E-26,-9.85E-27,-2.74E-45
0.09,-4.40E-32,-1.29E-31,33.48718842,-3.17E-29,-9.28E-29,1.22E-09,1,-6.46E-32,2.21E-32,6.58E-43,-9.31E-29,3.18E-29,2.19E-49,55.432968,-5.700802,90,0,-2.21E-26,-6.47E-26,3.90E-06,-6.49E-26,2.22E-26,6.18E-45
0.1,-2.56E-28,-7.48E-28,33.48718842,-1.84E-25,-5.39E-25,7.09E-06,1,-3.75E-28,1.28E-28,3.83E-39,-5.41E-25,1.85E-25,1.27E-45,55.432968,-5.700802,90,0,-1.29E-22,-3.76E-22,0.022662226,-3.77E-22,1.29E-22,3.59E-41
0.11,4.58E-23,1.34E-22,33.48820807,3.30E-20,9.66E-20,0.22800544,1,6.72E-23,-2.30E-23,-6.86E-34,9.70E-20,-3.31E-20,-2.28E-40,55.432968,-5.700802,90,0,2.30E-17,6.73E-17,48.84717681,6.76E-17,-2.31E-17,-6.43E-36
0.12,6.74E-23,1.97E-22,33.49403564,4.86E-20,1.42E-19,0.970158072,1,9.89E-23,-3.38E-23,-1.01E-33,1.43E-19,-4.87E-20,-3.36E-40,55.432968,-5.700802,90,0,3.39E-17,9.90E-17,99.45868648,9.94E-17,-3.40E-17,-9.47E-36
0.13,-9.61E-20,-2.81E-19,33.50888786,-6.93E-17,-2.03E-16,2.013920813,1,-1.41E-19,4.82E-20,1.44E-30,-2.03E-16,6.95E-17,4.78E-37,55.432968,-5.700802,90,0,-4.83E-14,-1.41E-13,108.7061872,-1.42E-13,4.84E-14,1.35E-32
0.14,3.68E-18,1.08E-17,33.53461339,2.65E-15,7.75E-15,3.143717827,1,5.39E-18,-1.84E-18,-5.50E-29,7.78E-15,-2.66E-15,-1.83E-35,55.432968,-5.700802,90,0,1.85E-12,5.40E-12,117.2571564,5.42E-12,-1.85E-12,-5.16E-31
0.15,2.23E-16,6.52E-16,33.57205551,1.61E-13,4.70E-13,4.359120167,1,3.27E-16,-1.12E-16,-3.33E-27,4.71E-13,-1.61E-13,-1.11E-33,55.432968,-5.700802,90,0,1.12E-10,3.27E-10,125.645256,3.29E-10,-1.12E-10,-3.13E-29
0.16,-2.49E-13,-7.28E-13,33.62339138,-1.79E-10,-5.25E-10,5.607527148,1,-3.65E-13,1.25E-13,3.72E-24,-5.27E-10,1.80E-10,1.24E-30,55.432968,-5.700802,90,0,-1.25E-07,-3.66E-07,124.276795,-3.67E-07,1.25E-07,3.50E-26
0.17,-2.25E-12,-6.57E-12,33.68589113,-1.62E-09,-4.73E-09,6.841804987,1,-3.29E-12,1.13E-12,3.36E-23,-4.75E-09,1.62E-09,1.12E-29,55.432968,-5.700802,90,0,-1.13E-06,-3.30E-06,122.8172744,-3.31E-06,1.13E-06,3.15E-25
0.18,-2.80E-12,-8.18E-12,33.75984477,-2.02E-09,-5.90E-09,8.060891254,1,-4.10E-12,1.40E-12,4.18E-23,-5.92E-09,2.02E-09,1.39E-29,55.432968,-5.700802,90,0,-1.40E-06,-4.11E-06,121.2339444,-4.12E-06,1.41E-06,3.93E-25
0.19,2.09E-12,6.10E-12,33.84604616,1.50E-09,4.40E-09,9.263125292,1,3.06E-12,-1.05E-12,-3.12E-23,4.41E-09,-1.51E-09,-1.04E-29,55.432968,-5.700802,90,0,1.05E-06,3.06E-06,119.3154959,3.08E-06,-1.05E-06,-2.93E-25
0.2,-1.36E-12,-3.99E-12,33.94466245,-9.83E-10,-2.88E-09,10.44994897,1,-2.00E-12,6.84E-13,2.04E-23,-2.89E-09,9.86E-10,6.79E-30,55.432968,-5.700802,90,0,-6.85E-07,-2.00E-06,117.9216573,-2.01E-06,6.87E-07,1.91E-25
0.21,2.13E-11,6.23E-11,34.05505973,1.53E-08,4.49E-08,11.63074174,1,3.12E-11,-1.07E-11,-3.19E-22,4.51E-08,-1.54E-08,-1.06E-28,55.432968,-5.700802,90,0,1.07E-05,3.13E-05,118.2857134,3.14E-05,-1.07E-05,-2.99E-24
0.22,-9.49E-11,-2.78E-10,34.17729262,-6.84E-08,-2.00E-07,12.81571259,1,-1.39E-10,4.76E-11,1.42E-21,-2.01E-07,6.86E-08,4.72E-28,55.432968,-5.700802,90,0,-4.77E-05,-0.000139413,118.7044734,-0.000139936,4.78E-05,1.33E-23
0.23,9.62E-10,2.81E-09,34.31139787,6.93E-07,2.03E-06,14.00493045,1,1.41E-09,-4.82E-10,-1.44E-20,2.03E-06,-6.95E-07,-4.79E-27,55.432968,-5.700802,90,0,0.000482913,0.001412391,119.1433177,0.001417683,-0.000484289,-1.35E-22
0.24,-1.31E-09,-3.83E-09,34.45742152,-9.43E-07,-2.76E-06,15.19852057,1,-1.92E-09,6.56E-10,1.96E-20,-2.77E-06,9.46E-07,6.51E-27,55.432968,-5.700802,90,0,-0.0006574,-0.001922718,119.5743613,-0.001929923,0.000659273,1.84E-22
0.25,-3.10E-09,-9.08E-09,34.61540085,-2.24E-06,-6.54E-06,16.3964281,1,-4.55E-09,1.55E-09,4.64E-20,-6.57E-06,2.24E-06,1.54E-26,55.432968,-5.700802,90,0,-0.001558472,-0.004558112,120.0069937,-0.004575193,0.001562912,4.36E-22
0.26,1.41E-08,4.12E-08,34.78538132,1.01E-05,2.97E-05,17.59867253,1,2.07E-08,-7.06E-09,-2.11E-19,2.98E-05,-1.02E-05,-7.01E-26,55.432968,-5.700802,90,0,0.007072543,0.020685286,120.4404498,0.020762802,-0.007092689,-1.98E-21
0.27,-1.48E-08,-4.34E-08,34.96740543,-1.07E-05,-3.13E-05,18.80528488,1,-2.17E-08,7.43E-09,2.22E-19,-3.14E-05,1.07E-05,7.38E-26,55.432968,-5.700802,90,0,-0.007445544,-0.021776211,120.8811787,-0.021857815,0.007466752,2.08E-21
0.28,-1.32E-07,-3.86E-07,35.16151947,-9.52E-05,-0.000278357,20.01622191,1,-1.94E-07,6.62E-08,1.98E-18,-0.000279395,9.54E-05,6.57E-25,55.432968,-5.700802,90,0,-0.066317515,-0.193960882,121.329366,-0.194687731,0.066506419,1.85E-20
0.29,-2.25E-07,-6.59E-07,35.36778285,-0.000162483,-0.00047522,21.23127243,1,-3.31E-07,1.13E-07,3.37E-18,-0.000476993,0.000162943,1.12E-24,55.432968,-5.700802,90,0,-0.113219461,-0.331136448,121.7610954,-0.332377349,0.113541964,3.16E-20
0.3,-1.62E-07,-4.74E-07,35.58625672,-0.000116853,-0.000341763,22.45020278,1,-2.38E-07,8.12E-08,2.43E-18,-0.000343038,0.000117184,8.07E-25,55.432968,-5.700802,90,0,-0.081423851,-0.238142849,122.1492203,-0.239035265,0.081655785,2.28E-20
0.31,1.80E-07,5.27E-07,35.81699956,0.000129922,0.000379987,23.6727763,1,2.64E-07,-9.03E-08,-2.70E-18,0.000381404,-0.00013029,-8.97E-25,55.432968,-5.700802,90,0,0.090530524,0.264777416,122.4676303,0.265769642,-0.090788398,-2.53E-20
0.32,5.54E-07,1.62E-06,36.0599753,0.00039924,0.001167669,24.89865039,1,8.13E-07,-2.78E-07,-8.29E-18,0.001172024,-0.00040037,-2.76E-24,55.432968,-5.700802,90,0,0.278192875,0.813639279,122.7268112,0.81668831,-0.278985301,-7.78E-20
0.33,2.51E-07,7.34E-07,36.31503031,0.000180768,0.000528698,26.12735072,1,3.68E-07,-1.26E-07,-3.75E-18,0.00053067,-0.00018128,-1.25E-24,55.432968,-5.700802,90,0,0.125960477,0.368400491,122.9827495,0.369781034,-0.126319273,-3.52E-20
0.34,2.65E-06,7.76E-06,36.58279006,0.000996377,0.002914092,27.35860545,1,3.90E-06,-1.33E-06,-4.91E-17,0.002925916,-0.000999524,1.40E-24,55.432968,-5.700802,90,0,0.28818007,0.842828405,123.2424907,0.846423612,-0.289149934,2.76E-19
0.35,2.70E-05,7.89E-05,36.86255405,0.003869056,0.011315151,28.59237651,0.999999999,3.96E-05,-1.35E-05,-6.23E-15,0.011393051,-0.003892189,-5.94E-22,55.432968,-5.700802,90,0,0.288774645,0.844455975,123.511333,0.855715993,-0.292359725,-3.11E-19
0.36,8.01E-05,0.000234113,37.15464119,0.006780311,0.019827838,29.82883751,0.999999991,0.000118199,-4.04E-05,-1.18E-13,0.020102958,-0.006868156,3.99E-20,55.432968,-5.700801998,90,0,0.297444306,0.86968192,123.7820448,0.900106667,-0.307562718,2.22E-17
0.37,0.000161877,0.000473383,37.45912121,0.009686294,0.028323713,31.06798563,0.999999958,0.000240887,-8.23E-05,-1.02E-12,0.029044743,-0.009923744,1.03E-19,55.43296801,-5.700801997,90,0,0.295114415,0.862717924,124.0532264,0.924020209,-0.315774483,6.45E-17
0.38,0.000272177,0.000795891,37.7760134,0.012546371,0.036683749,32.30979005,0.999999881,0.000408904,-0.000139707,-3.64E-12,0.038222554,-0.013060408,1.01E-19,55.43296801,-5.700801995,90,0,0.285189062,0.833520995,124.3204612,0.937829803,-0.320538682,8.88E-17
0.39,0.00041068,0.001200831,38.10533688,0.01531991,0.044788911,33.55421968,0.999999741,0.000623441,-0.000213016,-8.90E-12,0.047640579,-0.016279619,-5.33E-20,55.43296801,-5.700801993,90,0,0.271148822,0.792271837,124.5793524,0.952132998,-0.325475623,5.76E-17
0.4,0.000576533,0.001685682,38.44711325,0.017964333,0.052514503,34.80122435,0.999999507,0.000885693,-0.000302636,-1.92E-11,0.057300988,-0.01958216,-4.20E-19,55.43296802,-5.70080199,90,0,0.254925976,0.744622979,124.8278097,0.972985318,-0.332654045,-2.66E-17
0.41,0.000767832,0.002244861,38.80136858,0.020433579,0.059725666,36.05071959,0.999999127,0.001196855,-0.000408978,-3.95E-11,0.067202327,-0.022967578,-1.01E-18,55.43296802,-5.700801987,90,0,0.235675439,0.688104199,125.0678809,0.998294681,-0.341359453,-8.97E-17
0.42,0.000982565,0.002872462,39.16812943,0.022681224,0.066286481,37.30261739,0.999998549,0.001558123,-0.000532453,-7.51E-11,0.077342763,-0.026435293,-1.84E-18,55.43296803,-5.700801984,90,0,0.212262903,0.619399392,125.3020449,1.025120539,-0.350587509,-5.04E-17
0.43,0.001218641,0.003562342,39.5474221,0.024660598,0.072060314,38.55683313,0.999997717,0.001970689,-0.000673471,-1.32E-10,0.087720386,-0.029984698,-2.91E-18,55.43296803,-5.70080198,90,0,0.183612815,0.535364344,125.532666,1.050693903,-0.359392483,1.60E-16
0.44,0.00147299,0.004305501,39.9392701,0.026322063,0.076901888,39.81332301,0.999996553,0.002435716,-0.000832435,-2.21E-10,0.098332355,-0.03361487,-4.06E-18,55.43296804,-5.700801976,90,0,0.149358583,0.434928829,125.7607305,1.074315858,-0.367535767,4.59E-16
0.45,0.001741894,0.005091038,40.34369502,0.027614011,0.080660192,41.07207033,0.999994967,0.002954349,-0.001009737,-3.60E-10,0.10917521,-0.037324678,-5.06E-18,55.43296805,-5.700801972,90,0,0.109603618,0.318397566,125.9863108,1.096659833,-0.375247541,6.63E-16
0.46,0.002021623,0.005908023,40.76071846,0.028484801,0.083184115,42.33305886,0.999992864,0.003527731,-0.001205774,-5.65E-10,0.120245477,-0.041112985,-5.67E-18,55.43296805,-5.700801968,90,0,0.064459751,0.186099899,126.209463,1.118423837,-0.382766377,5.86E-16
0.47,0.002308058,0.006744375,41.19036238,0.028881254,0.084318066,43.59627936,0.999990144,0.004156999,-0.001420936,-8.55E-10,0.131539112,-0.044978462,-5.75E-18,55.43296806,-5.700801963,90,0,0.013970967,0.038166945,126.4308879,1.140121611,-0.390267899,1.57E-16
0.48,0.002595661,0.007583879,41.63265005,0.028744636,0.083890271,44.8617479,0.999986671,0.004843278,-0.001655614,-1.26E-09,0.143049993,-0.048919074,-5.47E-18,55.43296807,-5.700801959,90,0,-0.042063936,-0.125986611,126.6536156,1.161600926,-0.397700215,-2.92E-16
0.49,0.002878578,0.008409379,42.08760509,0.028014961,0.081725301,46.12948623,0.9999823,0.005587686,-0.001910193,-1.83E-09,0.154771527,-0.052932625,-5.11E-18,55.43296808,-5.700801954,90,0,-0.103901537,-0.307107881,126.8812029,1.182559152,-0.404960052,-3.34E-16
0.5,0.003150933,0.009203667,42.55525106,0.026632269,0.077647813,47.39951622,0.999976889,0.006391337,-0.002185061,-2.58E-09,0.1666971,-0.057016913,-4.92E-18,55.43296808,-5.70080195,90,0,-0.171795342,-0.505934983,127.1169538,1.202698409,-0.411945758,4.25E-16
0.51,0.003406141,0.009947453,43.03561032,0.024537644,0.071485573,48.67186319,0.999970275,0.007255208,-0.002480555,-3.58E-09,0.178819197,-0.061169425,-4.91E-18,55.43296809,-5.700801946,90,0,-0.24588699,-0.722878592,127.3549819,1.221893763,-0.418614749,1.19E-15
0.52,0.003636542,0.010618316,43.52870429,0.02167181,0.063065382,49.94653303,0.99996227,0.008180127,-0.002796963,-4.89E-09,0.191128861,-0.065387158,-4.87E-18,55.4329681,-5.700801942,90,0,-0.326204993,-0.95801806,127.5815286,1.240192905,-0.424983385,4.35E-16
0.53,0.003833677,0.011191488,44.03455671,0.017968441,0.052193428,51.22342823,0.999952666,0.009167048,-0.003134619,-6.59E-09,0.20361573,-0.069666632,-4.98E-18,55.4329681,-5.700801939,90,0,-0.412895727,-1.211776969,127.798997,1.257455552,-0.431003777,-1.06E-16
0.54,0.00398977,0.011644209,44.55318783,0.013368836,0.038698213,52.50251226,0.999941268,0.010216756,-0.003493795,-8.75E-09,0.216270111,-0.074004589,-4.75E-18,55.4329681,-5.700801937,90,0,-0.506148801,-1.484705761,128.0160744,1.273573226,-0.436638924,-3.13E-18
0.55,0.004096989,0.011953558,45.08461567,0.007818115,0.022419451,53.78382922,0.99992788,0.011329877,-0.003874711,-1.15E-08,0.229082156,-0.078397713,-3.52E-18,55.43296811,-5.700801936,90,0,-0.606146305,-1.777332909,128.240124,1.28850743,-0.441875749,-5.76E-16
0.56,0.004144307,0.012087266,45.62886454,0.001242102,0.003140555,55.06739524,0.999912228,0.012507199,-0.004277644,-1.49E-08,0.242037989,-0.082841328,-2.56E-18,55.43296811,-5.700801936,90,0,-0.713020102,-2.09003822,128.4689628,1.302160121,-0.446680761,-1.55E-15
0.57,0.004120008,0.012011053,46.18596016,-0.006437567,-0.01936729,56.35321969,0.999894021,0.013749546,-0.004702882,-1.92E-08,0.255122867,-0.087330467,-3.53E-18,55.43296811,-5.700801935,90,0,-0.82689131,-2.423169699,128.6983646,1.314419801,-0.451015861,-2.29E-15
