Time,X,Y,Z,VX,VY,VZ,Euler 0,Euler 1,Euler 2,Euler 3,Omega 1,Omega 2,Omega 3,Latitude,Longitude,Inclination,Heading,Ax,Ay,Az,Alpha 1,Alpha 2,Alpha 3,,timestamp,baro_altitude,imu_accZ
0,0,0,33.48718842,0,0,0,1,0,0,0,0,0,0,55.432968,-5.700802,90,0,0,0,0,0,0,0,,0,33.48718842,9.81
0.01,-2.35E-39,7.47E-39,33.48718842,-1.62E-36,5.13E-36,1.08E-13,1,3.76E-39,1.18E-39,7.84E-39,5.17E-36,1.63E-36,1.08E-35,55.432968,-5.700802,90,0,-1.08E-33,3.41E-33,3.44E-10,3.44E-33,1.08E-33,7.18E-33,,10,33.48718842,9.81
0.02,4.71E-37,-1.50E-36,33.48718842,3.24E-34,-1.03E-33,-2.15E-11,1,-7.52E-37,-2.37E-37,-1.57E-36,-1.04E-33,-3.26E-34,-2.16E-33,55.432968,-5.700802,90,0,2.15E-31,-6.84E-31,-6.88E-08,-6.88E-31,-2.17E-31,-1.44E-30,,20,33.48718842,9.809999931
0.03,6.84E-37,-2.17E-36,33.48718842,4.70E-34,-1.49E-33,-3.13E-11,1,-1.09E-36,-3.44E-37,-2.28E-36,-1.50E-33,-4.73E-34,-3.14E-33,55.432968,-5.700802,90,0,3.13E-31,-9.92E-31,-9.99E-08,-9.99E-31,-3.15E-31,-2.09E-30,,30,33.48718842,9.8099999
0.04,-9.30E-37,2.95E-36,33.48718842,-6.40E-34,2.03E-33,4.25E-11,1,1.48E-36,4.68E-37,3.10E-36,2.04E-33,6.44E-34,4.27E-33,55.432968,-5.700802,90,0,-4.25E-31,1.35E-30,1.36E-07,1.36E-30,4.28E-31,2.84E-30,,40,33.48718842,9.810000136
0.05,-3.16E-36,1.00E-35,33.48718842,-2.17E-33,6.90E-33,1.45E-10,1,5.05E-36,1.59E-36,1.05E-35,6.95E-33,2.19E-33,1.45E-32,55.432968,-5.700802,90,0,-1.45E-30,4.59E-30,4.62E-07,4.62E-30,1.46E-30,9.65E-30,,50,33.48718842,9.810000462
0.06,-1.17E-36,3.72E-36,33.48718842,-8.07E-34,2.56E-33,5.36E-11,1,1.87E-36,5.90E-37,3.91E-36,2.58E-33,8.12E-34,5.38E-33,55.432968,-5.700802,90,0,-5.36E-31,1.70E-30,1.71E-07,1.71E-30,5.40E-31,3.58E-30,,60,33.48718842,9.810000171
0.07,7.91E-36,-2.51E-35,33.48718842,5.44E-33,-1.73E-32,-3.62E-10,1,-1.26E-35,-3.98E-36,-2.64E-35,-1.74E-32,-5.48E-33,-3.63E-32,55.432968,-5.700802,90,0,3.62E-30,-1.15E-29,-1.16E-06,-1.16E-29,-3.64E-30,-2.41E-29,,70,33.48718842,9.809998845
0.08,1.18E-35,-3.74E-35,33.48718842,8.10E-33,-2.57E-32,-5.38E-10,1,-1.88E-35,-5.92E-36,-3.92E-35,-2.59E-32,-8.15E-33,-5.40E-32,55.432968,-5.700802,90,0,5.38E-30,-1.71E-29,-1.72E-06,-1.72E-29,-5.42E-30,-3.59E-29,,80,33.48718842,9.809998281
0.09,-2.69E-35,8.52E-35,33.48718842,-1.85E-32,5.86E-32,1.23E-09,1,4.29E-35,1.35E-35,8.95E-35,5.90E-32,1.86E-32,1.23E-31,55.432968,-5.700802,90,0,-1.23E-29,3.90E-29,3.92E-06,3.92E-29,1.24E-29,8.20E-29,,90,33.48718842,9.810003923
0.1,-1.27E-31,4.03E-31,33.48718842,-8.73E-29,2.77E-28,5.80E-06,1,2.03E-31,6.38E-32,4.23E-31,2.79E-28,8.78E-29,5.82E-28,55.432968,-5.700802,90,0,-5.80E-26,1.84E-25,0.01853168,1.85E-25,5.84E-26,3.87E-25,,100,33.48718842,9.82853168
0.11,2.77E-26,-8.77E-26,33.48821056,1.90E-23,-6.03E-23,0.22834306,1,-4.41E-26,-1.39E-26,-9.22E-26,-6.07E-23,-1.91E-23,-1.27E-22,55.432968,-5.700802,90,0,1.26E-20,-4.01E-20,48.88098038,-4.04E-20,-1.27E-20,-8.44E-20,,110,33.48821056,58.69098038
