Time,X,Y,Z,VX,VY,VZ,Euler 0,Euler 1,Euler 2,Euler 3,Omega 1,Omega 2,Omega 3,Latitude,Longitude,Inclination,Heading,Ax,Ay,Az,Alpha 1,Alpha 2,Alpha 3
0,0.0,0.0,33.48718842196614,0.0,0.0,0.0,-0.008726535498373997,-0.0,-0.0,-0.9999619230641713,0.0,0.0,0.0,55.432968,-5.700802,90,181,0.0,0.0,0.0,0.0,0.0,0.0
1,0.038553232188787416,0.11108756098269039,61.176960952797955,-0.4147453207742461,-1.2216949301233608,59.11970363814517,-0.008689087817570143,0.030214803317916178,0.0908140990508812,-0.9953700989158777,-0.5099658692986831,0.16523198279216944,3.116842916449167e-16,55.432968978770056,-5.700801401076935,90,181,-3.7854242498368467,-11.09572974043972,61.78084474799397,-0.48771897818868976,0.16105474380312806,2.655809220564795e-15
2,-4.58509606373387,-13.372771816954607,147.9453944553395,-9.972478256295263,-28.975726230964693,112.37273033772955,-0.008824704524960416,0.06694034757481883,0.19715633432979965,-0.9780434996254588,0.28803496650770755,-0.08875779874552153,9.397042732970246e-17,55.43284758814328,-5.700874766085051,90,181,-9.199231651237746,-26.407812508532363,52.53814615462962,-0.04411026130507876,0.02013321340724097,-3.497936679698888e-16
3,-18.340375852706938,-52.99770946390639,285.85451386562926,-18.04663206266963,-51.592561975939994,159.94534482128202,-0.009284649234228282,0.074270467572951,0.21047448761913337,-0.9747298702139376,0.1115979751317565,-0.03100396939381717,4.954895453185387e-17,55.43249078985419,-5.7010930653620475,90,181,-8.314836619680355,-23.00021742045824,37.956975974095506,0.2782189957018508,-0.08760840339045863,-1.533113274067516e-16
4,-38.35471294674503,-109.97082217754586,454.40606267901916,-19.77949705528589,-56.397170278997976,162.59840370097928,-0.009834849046232157,0.07863407315744347,0.21531398935817955,-0.9733242323535637,0.007072519508654182,0.0034395978210679584,-7.604776752002259e-17,55.4319778724501,-5.701410631399751,90,181,2.574982756678165,6.877290071838995,-21.013996699882497,-0.40524109145787346,0.13409871698127485,3.9878450874998548e-16
5,-57.07091828290196,-163.5811076589386,606.7303114704902,-17.750164177733623,-51.11931803705302,142.43739348236048,-0.010341116268001141,0.0864422500044937,0.23007403920713182,-0.9692714559002509,-0.02794879440990918,0.015403657975216527,-1.5434841640020787e-13,55.43149519233613,-5.701707615566961,90,181,2.00340409632192,5.16583395603746,-18.642307603728934,-0.15602033892020697,0.05235915142107773,6.991751447824801e-13
6,-73.94191698713452,-212.47047016256823,740.0917946905964,-16.043954627286073,-46.81611499273741,124.61723359258681,-0.010882229294788631,0.09487838232341654,0.24597877280849745,-0.9645592530348152,-0.030602909534427323,0.016506915487479526,5.246380444704039e-14,55.43105502271185,-5.701975309379231,90,181,1.6460750874528958,4.113620899162107,-16.709742146335582,-0.06485958079105139,0.022129253604532124,-2.0723819975873852e-13
7,-89.22150369870442,-257.4143378265641,856.5930905070145,-14.558843670994046,-43.212559129234556,108.63139211159114,-0.011600276642135695,0.1047062380770725,0.2636157277628062,-0.9588581265509913,-0.03166955802268994,0.020448636248381606,1.1681108594271765e-15,55.43065036303728,-5.702217755086138,90,181,1.386731715145026,3.349908445993255,-15.18167032650133,-0.019454390360760705,0.005048902104663482,-4.039846541192214e-15
8,-103.11731494625452,-299.0358670860754,957.8602207086757,-13.264669138878382,-40.139711527075846,94.09714215393377,-0.012393912547415207,0.1158798308648505,0.28364126320055016,-0.9518222605352953,-0.043965983176986495,0.02404958501869788,4.166907343110458e-17,55.430275600694294,-5.702438251191213,90,181,1.2046879232798167,2.7740283979041185,-13.962957997047178,0.006101236057150684,0.0014739946410576373,-1.268125660389002e-16
9,-115.80273942429746,-337.8398201751068,1045.1670193941707,-12.129930504554608,-37.5274862400239,80.68980159125188,-0.01326198813699093,0.128451551557116,0.30630303863711306,-0.9431346007957782,-0.055455357030648675,0.028139132015008093,-3.176066649429228e-13,55.429926230084156,-5.702639520720108,90,181,1.062289210259647,2.4123968766247423,-12.926756377033875,-0.010626174880514204,0.004017145527290142,8.546193568105474e-13
